track name,artist name,artist popularity,artist genres,album name,track popularity,audio features
I Wanna Be Yours,Arctic Monkeys,87,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM,92,"{'danceability': 0.464, 'energy': 0.417, 'key': 0, 'loudness': -9.345, 'mode': 0, 'speechiness': 0.0256, 'acousticness': 0.136, 'instrumentalness': 0.022, 'liveness': 0.0974, 'valence': 0.479, 'tempo': 67.528, 'type': 'audio_features', 'id': '5XeFesFbtLpXzIVDNQP22n', 'uri': 'spotify:track:5XeFesFbtLpXzIVDNQP22n', 'track_href': 'https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n', 'duration_ms': 183956, 'time_signature': 4}"
Ojitos Lindos,Bad Bunny,98,"['reggaeton', 'trap latino']",Un Verano Sin Ti,93,"{'danceability': 0.647, 'energy': 0.686, 'key': 3, 'loudness': -5.745, 'mode': 0, 'speechiness': 0.0413, 'acousticness': 0.08, 'instrumentalness': 1.34e-06, 'liveness': 0.528, 'valence': 0.268, 'tempo': 79.928, 'type': 'audio_features', 'id': '3k3NWokhRRkEPhCzPmV8TW', 'uri': 'spotify:track:3k3NWokhRRkEPhCzPmV8TW', 'track_href': 'https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW', 'duration_ms': 258299, 'time_signature': 4}"
Lift Me Up,Rihanna,89,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Black Panther: Wakanda Forever - Music From and Inspired By,76,"{'danceability': 0.247, 'energy': 0.299, 'key': 9, 'loudness': -6.083, 'mode': 1, 'speechiness': 0.0315, 'acousticness': 0.899, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.172, 'tempo': 177.115, 'type': 'audio_features', 'id': '6sCvvleqKbeyOkQDieBYgp', 'uri': 'spotify:track:6sCvvleqKbeyOkQDieBYgp', 'track_href': 'https://api.spotify.com/v1/tracks/6sCvvleqKbeyOkQDieBYgp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6sCvvleqKbeyOkQDieBYgp', 'duration_ms': 196520, 'time_signature': 4}"
Sweater Weather,The Neighbourhood,84,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",I Love You.,92,"{'danceability': 0.612, 'energy': 0.807, 'key': 10, 'loudness': -2.81, 'mode': 1, 'speechiness': 0.0336, 'acousticness': 0.0495, 'instrumentalness': 0.0177, 'liveness': 0.101, 'valence': 0.398, 'tempo': 124.053, 'type': 'audio_features', 'id': '2QjOHCTQ1Jl3zawyYOpxh6', 'uri': 'spotify:track:2QjOHCTQ1Jl3zawyYOpxh6', 'track_href': 'https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6', 'duration_ms': 240400, 'time_signature': 4}"
SNAP,Rosa Linn,76,['alt z'],SNAP PACK,60,"{'danceability': 0.565, 'energy': 0.636, 'key': 0, 'loudness': -8.198, 'mode': 1, 'speechiness': 0.0638, 'acousticness': 0.107, 'instrumentalness': 9.9e-06, 'liveness': 0.447, 'valence': 0.525, 'tempo': 170.01, 'type': 'audio_features', 'id': '6zJejIfVYLgjud3lTk4DLB', 'uri': 'spotify:track:6zJejIfVYLgjud3lTk4DLB', 'track_href': 'https://api.spotify.com/v1/tracks/6zJejIfVYLgjud3lTk4DLB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6zJejIfVYLgjud3lTk4DLB', 'duration_ms': 179551, 'time_signature': 4}"
Monotonía,Shakira,86,"['colombian pop', 'dance pop', 'latin pop']",Monotonía,92,"{'danceability': 0.873, 'energy': 0.695, 'key': 0, 'loudness': -4.207, 'mode': 0, 'speechiness': 0.0459, 'acousticness': 0.419, 'instrumentalness': 1.23e-06, 'liveness': 0.211, 'valence': 0.823, 'tempo': 131.963, 'type': 'audio_features', 'id': '6G12ZafqofSq7YtrMqUm76', 'uri': 'spotify:track:6G12ZafqofSq7YtrMqUm76', 'track_href': 'https://api.spotify.com/v1/tracks/6G12ZafqofSq7YtrMqUm76', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6G12ZafqofSq7YtrMqUm76', 'duration_ms': 158805, 'time_signature': 4}"
Glimpse of Us,Joji,86,['viral pop'],SMITHEREENS,83,"{'danceability': 0.44, 'energy': 0.317, 'key': 8, 'loudness': -9.258, 'mode': 1, 'speechiness': 0.0531, 'acousticness': 0.891, 'instrumentalness': 4.78e-06, 'liveness': 0.141, 'valence': 0.268, 'tempo': 169.914, 'type': 'audio_features', 'id': '4ewazQLXFTDC8XvCbhvtXs', 'uri': 'spotify:track:4ewazQLXFTDC8XvCbhvtXs', 'track_href': 'https://api.spotify.com/v1/tracks/4ewazQLXFTDC8XvCbhvtXs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ewazQLXFTDC8XvCbhvtXs', 'duration_ms': 233456, 'time_signature': 3}"
"You're On Your Own, Kid",Taylor Swift,100,['pop'],Midnights,89,"{'danceability': 0.696, 'energy': 0.396, 'key': 2, 'loudness': -10.289, 'mode': 1, 'speechiness': 0.0656, 'acousticness': 0.401, 'instrumentalness': 5.2e-06, 'liveness': 0.125, 'valence': 0.38, 'tempo': 120.041, 'type': 'audio_features', 'id': '4D7BCuvgdJlYvlX5WlN54t', 'uri': 'spotify:track:4D7BCuvgdJlYvlX5WlN54t', 'track_href': 'https://api.spotify.com/v1/tracks/4D7BCuvgdJlYvlX5WlN54t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4D7BCuvgdJlYvlX5WlN54t', 'duration_ms': 194207, 'time_signature': 4}"
Maroon,Taylor Swift,100,['pop'],Midnights,89,"{'danceability': 0.637, 'energy': 0.398, 'key': 7, 'loudness': -8.294, 'mode': 1, 'speechiness': 0.0564, 'acousticness': 0.0573, 'instrumentalness': 1.03e-06, 'liveness': 0.101, 'valence': 0.0374, 'tempo': 108.075, 'type': 'audio_features', 'id': '3eX0NZfLtGzoLUxPNvRfqm', 'uri': 'spotify:track:3eX0NZfLtGzoLUxPNvRfqm', 'track_href': 'https://api.spotify.com/v1/tracks/3eX0NZfLtGzoLUxPNvRfqm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3eX0NZfLtGzoLUxPNvRfqm', 'duration_ms': 218271, 'time_signature': 4}"
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,100,['pop'],Midnights,90,"{'danceability': 0.663, 'energy': 0.319, 'key': 9, 'loudness': -13.481, 'mode': 1, 'speechiness': 0.0375, 'acousticness': 0.69, 'instrumentalness': 0.000993, 'liveness': 0.117, 'valence': 0.193, 'tempo': 109.957, 'type': 'audio_features', 'id': '1wtOxkiel43cVs0Yux5Q4h', 'uri': 'spotify:track:1wtOxkiel43cVs0Yux5Q4h', 'track_href': 'https://api.spotify.com/v1/tracks/1wtOxkiel43cVs0Yux5Q4h', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1wtOxkiel43cVs0Yux5Q4h', 'duration_ms': 256124, 'time_signature': 4}"
Last Christmas,Wham!,73,"['dance pop', 'disco', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",LAST CHRISTMAS,87,"{'danceability': 0.735, 'energy': 0.478, 'key': 2, 'loudness': -12.472, 'mode': 1, 'speechiness': 0.0293, 'acousticness': 0.189, 'instrumentalness': 2.48e-06, 'liveness': 0.355, 'valence': 0.947, 'tempo': 107.682, 'type': 'audio_features', 'id': '2FRnf9qhLbvw8fu4IBXx78', 'uri': 'spotify:track:2FRnf9qhLbvw8fu4IBXx78', 'track_href': 'https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78', 'duration_ms': 262960, 'time_signature': 4}"
Bejeweled,Taylor Swift,100,['pop'],Midnights,88,"{'danceability': 0.696, 'energy': 0.559, 'key': 7, 'loudness': -9.19, 'mode': 1, 'speechiness': 0.0693, 'acousticness': 0.0618, 'instrumentalness': 5.58e-05, 'liveness': 0.0887, 'valence': 0.433, 'tempo': 163.999, 'type': 'audio_features', 'id': '3qoftcUZaUOncvIYjFSPdE', 'uri': 'spotify:track:3qoftcUZaUOncvIYjFSPdE', 'track_href': 'https://api.spotify.com/v1/tracks/3qoftcUZaUOncvIYjFSPdE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3qoftcUZaUOncvIYjFSPdE', 'duration_ms': 194166, 'time_signature': 4}"
Feliz Cumpleaños Ferxxo,Feid,89,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino']",FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,86,"{'danceability': 0.865, 'energy': 0.573, 'key': 5, 'loudness': -5.501, 'mode': 1, 'speechiness': 0.0678, 'acousticness': 0.0863, 'instrumentalness': 0, 'liveness': 0.305, 'valence': 0.563, 'tempo': 94.999, 'type': 'audio_features', 'id': '2CeKVsFFXG4QzA415QygGb', 'uri': 'spotify:track:2CeKVsFFXG4QzA415QygGb', 'track_href': 'https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2CeKVsFFXG4QzA415QygGb', 'duration_ms': 155960, 'time_signature': 4}"
Die For You,Joji,86,['viral pop'],SMITHEREENS,90,"{'danceability': 0.472, 'energy': 0.518, 'key': 8, 'loudness': -7.379, 'mode': 1, 'speechiness': 0.051, 'acousticness': 0.383, 'instrumentalness': 0.127, 'liveness': 0.289, 'valence': 0.154, 'tempo': 147.805, 'type': 'audio_features', 'id': '26hOm7dTtBi0TdpDGl141t', 'uri': 'spotify:track:26hOm7dTtBi0TdpDGl141t', 'track_href': 'https://api.spotify.com/v1/tracks/26hOm7dTtBi0TdpDGl141t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/26hOm7dTtBi0TdpDGl141t', 'duration_ms': 211667, 'time_signature': 4}"
Karma,Taylor Swift,100,['pop'],Midnights,88,"{'danceability': 0.642, 'energy': 0.62, 'key': 8, 'loudness': -7.091, 'mode': 1, 'speechiness': 0.0666, 'acousticness': 0.0734, 'instrumentalness': 0, 'liveness': 0.483, 'valence': 0.0969, 'tempo': 90.02, 'type': 'audio_features', 'id': '7KokYm8cMIXCsGVmUvKtqf', 'uri': 'spotify:track:7KokYm8cMIXCsGVmUvKtqf', 'track_href': 'https://api.spotify.com/v1/tracks/7KokYm8cMIXCsGVmUvKtqf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7KokYm8cMIXCsGVmUvKtqf', 'duration_ms': 204852, 'time_signature': 4}"
Heat Waves,Glass Animals,77,"['gauze pop', 'indietronica', 'shiver pop']",Dreamland (+ Bonus Levels),86,"{'danceability': 0.761, 'energy': 0.525, 'key': 11, 'loudness': -6.9, 'mode': 1, 'speechiness': 0.0944, 'acousticness': 0.44, 'instrumentalness': 6.7e-06, 'liveness': 0.0921, 'valence': 0.531, 'tempo': 80.87, 'type': 'audio_features', 'id': '02MWAaffLxlfxAUY7c5dvx', 'uri': 'spotify:track:02MWAaffLxlfxAUY7c5dvx', 'track_href': 'https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx', 'duration_ms': 238805, 'time_signature': 4}"
Bones,Imagine Dragons,87,"['modern rock', 'rock']",Mercury - Acts 1 & 2,85,"{'danceability': 0.772, 'energy': 0.75, 'key': 5, 'loudness': -3.67, 'mode': 0, 'speechiness': 0.0455, 'acousticness': 0.0201, 'instrumentalness': 0, 'liveness': 0.074, 'valence': 0.587, 'tempo': 114.061, 'type': 'audio_features', 'id': '54ipXppHLA8U4yqpOFTUhr', 'uri': 'spotify:track:54ipXppHLA8U4yqpOFTUhr', 'track_href': 'https://api.spotify.com/v1/tracks/54ipXppHLA8U4yqpOFTUhr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr', 'duration_ms': 165265, 'time_signature': 4}"
STAY (with Justin Bieber),The Kid LAROI,81,"['australian hip hop', 'pop']",F*CK LOVE 3: OVER YOU,86,"{'danceability': 0.591, 'energy': 0.764, 'key': 1, 'loudness': -5.484, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.0383, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.478, 'tempo': 169.928, 'type': 'audio_features', 'id': '5PjdY0CKGZdEuoNab3yDmX', 'uri': 'spotify:track:5PjdY0CKGZdEuoNab3yDmX', 'track_href': 'https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX', 'duration_ms': 141806, 'time_signature': 4}"
Neverita,Bad Bunny,98,"['reggaeton', 'trap latino']",Un Verano Sin Ti,91,"{'danceability': 0.876, 'energy': 0.498, 'key': 10, 'loudness': -7.511, 'mode': 1, 'speechiness': 0.0478, 'acousticness': 0.0706, 'instrumentalness': 0, 'liveness': 0.143, 'valence': 0.428, 'tempo': 122.016, 'type': 'audio_features', 'id': '31i56LZnwE6uSu3exoHjtB', 'uri': 'spotify:track:31i56LZnwE6uSu3exoHjtB', 'track_href': 'https://api.spotify.com/v1/tracks/31i56LZnwE6uSu3exoHjtB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/31i56LZnwE6uSu3exoHjtB', 'duration_ms': 173119, 'time_signature': 4}"
Rockin' Around The Christmas Tree,Brenda Lee,72,"['adult standards', 'brill building pop', 'vocal jazz']",Merry Christmas From Brenda Lee,88,"{'danceability': 0.589, 'energy': 0.472, 'key': 8, 'loudness': -8.749, 'mode': 1, 'speechiness': 0.0502, 'acousticness': 0.614, 'instrumentalness': 0, 'liveness': 0.505, 'valence': 0.898, 'tempo': 67.196, 'type': 'audio_features', 'id': '2EjXfH91m7f8HiJN1yQg97', 'uri': 'spotify:track:2EjXfH91m7f8HiJN1yQg97', 'track_href': 'https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97', 'duration_ms': 126267, 'time_signature': 4}"
