track name,artist name,artist popularity,artist genres,album name,track popularity,audio features
Miss You,Oliver Tree,81,['alternative hip hop'],Miss You,94,"{'danceability': 0.587, 'energy': 0.742, 'key': 6, 'loudness': -6.64, 'mode': 0, 'speechiness': 0.0529, 'acousticness': 0.0128, 'instrumentalness': 0.00107, 'liveness': 0.146, 'valence': 0.199, 'tempo': 145.007, 'type': 'audio_features', 'id': '73vIOb4Q7YN6HeJTbscRx5', 'uri': 'spotify:track:73vIOb4Q7YN6HeJTbscRx5', 'track_href': 'https://api.spotify.com/v1/tracks/73vIOb4Q7YN6HeJTbscRx5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/73vIOb4Q7YN6HeJTbscRx5', 'duration_ms': 206000, 'time_signature': 4}"
I Ain't Worried,OneRepublic,84,"['piano rock', 'pop']","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",95,"{'danceability': 0.704, 'energy': 0.797, 'key': 0, 'loudness': -5.927, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 0.0826, 'instrumentalness': 0.000745, 'liveness': 0.0546, 'valence': 0.825, 'tempo': 139.994, 'type': 'audio_features', 'id': '4h9wh7iOZ0GGn8QVp4RAOB', 'uri': 'spotify:track:4h9wh7iOZ0GGn8QVp4RAOB', 'track_href': 'https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB', 'duration_ms': 148486, 'time_signature': 4}"
Tití Me Preguntó,Bad Bunny,98,"['reggaeton', 'trap latino']",Un Verano Sin Ti,95,"{'danceability': 0.65, 'energy': 0.715, 'key': 5, 'loudness': -5.198, 'mode': 0, 'speechiness': 0.253, 'acousticness': 0.0993, 'instrumentalness': 0.000291, 'liveness': 0.126, 'valence': 0.187, 'tempo': 106.672, 'type': 'audio_features', 'id': '1IHWl5LamUGEuP4ozKQSXZ', 'uri': 'spotify:track:1IHWl5LamUGEuP4ozKQSXZ', 'track_href': 'https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ', 'duration_ms': 243717, 'time_signature': 4}"
Hey Mor,Ozuna,88,"['puerto rican pop', 'reggaeton', 'trap latino']",OzuTochi,89,"{'danceability': 0.901, 'energy': 0.589, 'key': 1, 'loudness': -6.713, 'mode': 0, 'speechiness': 0.289, 'acousticness': 0.00302, 'instrumentalness': 0.000237, 'liveness': 0.0992, 'valence': 0.399, 'tempo': 98.002, 'type': 'audio_features', 'id': '1zsPaEkglFvxjAhrM8yhpr', 'uri': 'spotify:track:1zsPaEkglFvxjAhrM8yhpr', 'track_href': 'https://api.spotify.com/v1/tracks/1zsPaEkglFvxjAhrM8yhpr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1zsPaEkglFvxjAhrM8yhpr', 'duration_ms': 196600, 'time_signature': 4}"
Another Love,Tom Odell,78,"['chill pop', 'pop']",Long Way Down,66,"{'danceability': 0.442, 'energy': 0.538, 'key': 4, 'loudness': -8.55, 'mode': 0, 'speechiness': 0.0451, 'acousticness': 0.717, 'instrumentalness': 2.95e-05, 'liveness': 0.09, 'valence': 0.139, 'tempo': 122.758, 'type': 'audio_features', 'id': '7jtQIBanIiJOMS6RyCx6jZ', 'uri': 'spotify:track:7jtQIBanIiJOMS6RyCx6jZ', 'track_href': 'https://api.spotify.com/v1/tracks/7jtQIBanIiJOMS6RyCx6jZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7jtQIBanIiJOMS6RyCx6jZ', 'duration_ms': 244360, 'time_signature': 4}"
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,78,['k-pop'],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],90,"{'danceability': 0.71, 'energy': 0.879, 'key': 0, 'loudness': -4.218, 'mode': 1, 'speechiness': 0.0422, 'acousticness': 0.158, 'instrumentalness': 0.00142, 'liveness': 0.439, 'valence': 0.341, 'tempo': 114.993, 'type': 'audio_features', 'id': '1RDvyOk4WtPCtoqciJwVn8', 'uri': 'spotify:track:1RDvyOk4WtPCtoqciJwVn8', 'track_href': 'https://api.spotify.com/v1/tracks/1RDvyOk4WtPCtoqciJwVn8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1RDvyOk4WtPCtoqciJwVn8', 'duration_ms': 201391, 'time_signature': 4}"
"Duki: Bzrp Music Sessions, Vol. 50",Bizarrap,85,"['argentine hip hop', 'pop venezolano', 'trap argentino']","Duki: Bzrp Music Sessions, Vol. 50",88,"{'danceability': 0.535, 'energy': 0.874, 'key': 9, 'loudness': -2.248, 'mode': 0, 'speechiness': 0.137, 'acousticness': 0.371, 'instrumentalness': 0, 'liveness': 0.192, 'valence': 0.323, 'tempo': 140.006, 'type': 'audio_features', 'id': '7MkylDYvKTSuWgrsBhHlsG', 'uri': 'spotify:track:7MkylDYvKTSuWgrsBhHlsG', 'track_href': 'https://api.spotify.com/v1/tracks/7MkylDYvKTSuWgrsBhHlsG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7MkylDYvKTSuWgrsBhHlsG', 'duration_ms': 227562, 'time_signature': 4}"
All I Want for Christmas Is You,Mariah Carey,81,"['dance pop', 'pop', 'urban contemporary']",Merry Christmas,91,"{'danceability': 0.336, 'energy': 0.627, 'key': 7, 'loudness': -7.463, 'mode': 1, 'speechiness': 0.0384, 'acousticness': 0.164, 'instrumentalness': 0, 'liveness': 0.0708, 'valence': 0.35, 'tempo': 150.273, 'type': 'audio_features', 'id': '0bYg9bo50gSsH3LtXe2SQn', 'uri': 'spotify:track:0bYg9bo50gSsH3LtXe2SQn', 'track_href': 'https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn', 'duration_ms': 241107, 'time_signature': 4}"
Bad Habit,Steve Lacy,84,['afrofuturism'],Gemini Rights,88,"{'danceability': 0.686, 'energy': 0.494, 'key': 1, 'loudness': -7.093, 'mode': 1, 'speechiness': 0.0355, 'acousticness': 0.613, 'instrumentalness': 5.8e-05, 'liveness': 0.402, 'valence': 0.7, 'tempo': 168.946, 'type': 'audio_features', 'id': '4k6Uh1HXdhtusDW5y8Gbvy', 'uri': 'spotify:track:4k6Uh1HXdhtusDW5y8Gbvy', 'track_href': 'https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy', 'duration_ms': 232067, 'time_signature': 4}"
DESPECHÁ,ROSALÍA,84,['r&b en espanol'],MOTOMAMI +,86,"{'danceability': 0.914, 'energy': 0.622, 'key': 7, 'loudness': -6.538, 'mode': 1, 'speechiness': 0.0892, 'acousticness': 0.146, 'instrumentalness': 1.68e-05, 'liveness': 0.0632, 'valence': 0.77, 'tempo': 130.04, 'type': 'audio_features', 'id': '53tfEupEzQRtVFOeZvk7xq', 'uri': 'spotify:track:53tfEupEzQRtVFOeZvk7xq', 'track_href': 'https://api.spotify.com/v1/tracks/53tfEupEzQRtVFOeZvk7xq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/53tfEupEzQRtVFOeZvk7xq', 'duration_ms': 156788, 'time_signature': 4}"
